toko,nama_barang,ulasan,rating
ismile-indonesia,Apple iPhone 13 128GB 256GB 512GB Garansi Resmi,"Josss
Barang masih segel dan bubble wrap tebal sekali",5
ismile-indonesia,Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB,Mantap!🔥,5
ismile-indonesia,Apple iPhone 15 Plus Garansi Resmi - 128GB 256GB 512GB,mannntaaaap,5
ismile-indonesia,,"Barang Ori, no seri di charger dan di kardus sama. Barang produksi apple India",5
ismile-indonesia,,"barang hilang, tidak ada action dari tokopedia",1
ismile-indonesia,,barang hilang,1
ismile-indonesia,Apple iPhone 15 Plus Garansi Resmi - 128GB 256GB 512GB,"Barang hilang, tidak ada tindakan dari tokopedia maupun dari pihak manapun, refund sesuai nominal, asuransi pengiriman tidak berguna",1
ismile-indonesia,,bagus,5
ismile-indonesia,,"respon dan proses cepat 
barang sesuai deskripsi 
Bonus yg sangat berguna
terima kasih atas pelayanannya yg baik, semoga sehat selalu dan semakin sukses.",5
ismile-indonesia,,Padahal saya beli baru tp di kirim udah ke buka segel nya. Sangat mengecewakan ini bukan barang murah,1
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,Kondisi segel nya udah kebuka gatau ini ori apa bukan yg jelas bkn new lg,1
ismile-indonesia,Apple iPad Mini 7 128GB 256GB 512GB WiFi Only Grey Blue Purple Starlight,"pembelian kedua setelah iphone di toko ini. masih sama, pelayanan maksimal, fast respon, fast delivery. thanks",5
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,,5
ismile-indonesia,Vention Kabel Charger USB 2.0 Type C to Lightning Fast Charging 27W PD 3A 1M 2M LALBF Resmi,Mantep lah pokonya! Barangnya bagus cepet sampe,5
ismile-indonesia,,Ekstra bubble wrap cukup tebal dan membuat aman iPhone di dalamnya.,5
ismile-indonesia,Apple iPhone 15 128GB 256GB 512GB Garansi Resmi,"iPhone tiba dengan baik, pembungkus cukup tebal dan aman. Seller juga melayani dengan baik dan cepat.",5
ismile-indonesia,,barang sudah diterima dengan baik. sudah dipakai juga aman. walopun agak sedikit kecewa krna pengiriman cukup lama sampe 6 hr. tp okelah,5
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,,5
